text_id,label,source_model,domain,text_content,topic_hint,word_count,avg_sentence_length,generation_method
TXT_0001,human,human,social,can we talk about gene editing ethics for a sec because i feel like people are completely missing the point here. this is bigger than most realize,gene editing ethics,27,13.5,template+human_variation
TXT_0002,human,human,social,update on election integrity concerns: it's complicated and anyone telling you otherwise is selling something. do your own research please,election integrity concerns,20,10.0,template+human_variation
TXT_0003,ai,gemini-2.0,news,"Analysts are closely watching developments related to climate change adaptation strategies, noting that recent events mark a potential turning point. The situation underscores long-standing structural issues that have resisted easy solutions. Observers remain cautiously optimistic about prospects for reform.",climate change adaptation strategies,39,13.0,style_simulation
TXT_0004,human,human,academic,"This paper examines genomic research breakthroughs through a critical lens,  drawing on empirical evidence gathered over a two-year period. The findings suggest that existing frameworks are insufficient to explain observed phenomena. We propose a revised model that accounts for contextual variability and systemic factors previously overlooked in the literature.",genomic research breakthroughs,49,16.3,template+human_variation
TXT_0005,ai,gpt-4o,academic,"Existing literature on student debt crisis has predominantly relied on cross-sectional designs, limiting causal inference. The present research addresses this gap through a prospective cohort study spanning three years. Preliminary results indicate a statistically significant association (p < 0.05) between key variables.",student debt crisis,42,10.8,style_simulation
TXT_0006,ai,gpt-4o,academic,"The concept of biodiversity loss occupies a contested space within contemporary scholarly discourse. Divergent theoretical frameworks have produced inconsistent empirical findings, underscoring the need for methodological standardization. This paper proposes an integrative framework to reconcile competing interpretations.",biodiversity loss,37,12.3,style_simulation
TXT_0007,human,human,academic,"The relationship between supply chain disruptions and broader societal outcomes remains poorly understood despite growing interest in the field. This study contributes to the literature by analyzing a dataset of 1,200 cases across five geographic regions. Results indicate statistically significant correlations, though causality cannot be established from observational data alone.",supply chain disruptions,50,16.7,template+human_variation
TXT_0008,human,human,news,"breaking: autonomous vehicle safety. Sources close to the matter told reporters the situation developed rapidly over the past 48 hours. No official statement has been released, though a press conference is expected later today.",autonomous vehicle safety,34,11.3,template+human_variation
TXT_0009,human,human,news,Local authorities are responding to reports that public transit investment. Emergency services were alerted at approximately 9 AM. The incident is under investigation. Residents in nearby areas have been asked to remain indoors as a precaution.,public transit investment,36,9.0,template+human_variation
TXT_0010,ai,gpt-4o,academic,"This study investigates the multifaceted dimensions of climate change adaptation strategies, employing a mixed-methods approach to capture both quantitative patterns and qualitative nuances. The findings contribute to an evolving body of literature that challenges reductive theoretical models. Further longitudinal research is recommended to assess causal mechanisms.",climate change adaptation strategies,46,15.3,style_simulation
TXT_0011,human,human,news,"Officials confirmed on Tuesday that space exploration milestones. The announcement came after weeks of speculation. Critics argue the move is premature, while supporters say it was long overdue. Public response has been divided along predictable lines.",space exploration milestones,36,9.0,template+human_variation
TXT_0012,ai,gpt-4o,academic,"Existing literature on gig economy labor rights has predominantly relied on cross-sectional designs, limiting causal inference. The present research addresses this gap through a prospective cohort study spanning three years. Preliminary results indicate a statistically significant association (p < 0.05) between key variables.",gig economy labor rights,43,11.0,style_simulation
TXT_0013,ai,gpt-4o,social,The discourse around urban housing shortages has become so exhausting. Can we please acknowledge the complexity here instead of reducing it to talking points?,urban housing shortages,24,12.0,style_simulation
TXT_0014,human,human,social,can we talk about urban housing shortages for a sec because i feel like people are completely missing the point here. this is bigger than most realize,urban housing shortages,27,13.5,template+human_variation
TXT_0015,human,human,social,update on election integrity concerns: it's complicated and anyone telling you otherwise is selling something. do your own research please,election integrity concerns,20,10.0,template+human_variation
TXT_0016,human,human,news,Local authorities are responding to reports that remote work productivity. Emergency services were alerted at approximately 9 AM. The incident is under investigation. Residents in nearby areas have been asked to remain indoors as a precaution.,remote work productivity,36,9.0,template+human_variation
TXT_0017,human,human,academic,"This paper examines cryptocurrency market volatility through a critical lens,  drawing on empirical evidence gathered over a two-year period. The findings suggest that existing frameworks are insufficient to explain observed phenomena. We propose a revised model that accounts for contextual variability and systemic factors previously overlooked in the literature.",cryptocurrency market volatility,49,16.3,template+human_variation
TXT_0018,human,human,news,An investigation into autonomous vehicle safety has uncovered new details that challenge the official narrative. Documents obtained through a freedom of information request suggest the issue is more complex than initially reported. Several key witnesses have declined to comment.,autonomous vehicle safety,39,13.0,template+human_variation
TXT_0019,ai,gemini-2.0,academic,"A growing body of research underscores the salience of genomic research breakthroughs as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",genomic research breakthroughs,48,16.0,style_simulation
TXT_0020,human,human,academic,Recent scholarship on social media misinformation has largely focused on surface-level manifestations while neglecting underlying structural determinants. This article challenges dominant assumptions and calls for a more nuanced approach that integrates interdisciplinary perspectives. Implications for policy and practice are discussed in the concluding section.,social media misinformation,44,14.7,template+human_variation
TXT_0021,human,human,academic,The theoretical underpinnings of algorithmic bias in hiring have evolved considerably over the past two decades. What began as a niche area of inquiry has grown into a robust field with competing schools of thought. This review synthesizes key debates and identifies gaps that warrant further empirical investigation.,algorithmic bias in hiring,48,16.0,template+human_variation
